dataset,Input,Question,Logical Forms,Answer Concepts,
risk,"test, date",What were the results of |test| on |date|,"LabEvent (|test|) [date=|date|, result=x] OR ProcedureEvent (|test|) [date=|date|, result=x] OR VitalEvent (|test|) [date=|date|, result=x] OR [{LabEvent (|test|) [date=|date|] OR ProcedureEvent (|test|) [date=|date|] OR VitalEvent (|test|) [date=|date|]} reveals {ConditionEvent (x) OR SymptomEvent (x)}] ",none,
risk,"test, date",What were the results of the abnormal |test| in |date|,"LabEvent (|test|) [abnormalResultFlag=Y, date=|date|, result=x] OR ProcedureEvent (|test|) [abnormalResultFlag=Y, date=|date|, result=x] OR VitalEvent (|test|) [date=|date|, (result=x)>vital.refhigh] OR VitalEvent (|test|) [date=|date|, (result=x)<vital.reflow] OR [{LabEvent (|test|) [date=|date|, abnormalResultFlag=Y] OR ProcedureEvent (|test|) [date=|date|, abnormalResultFlag=Y] OR VitalEvent (|test|) [date=|date|]} reveals {ConditionEvent (x) OR SymptomEvent (x)}] ",result_date,
risk,test,Has she had any abnormal |test|##Has the pateint ever had an abnormal |test|##Has the patient ever had an abnormal |test|##Has this patient ever had an abnormal |test| that needs follow up##Where there any abnormal changes seen on |test|,"LabEvent (|test|) [date=x, result=x, abnormalResultFlag=Y] OR ProcedureEvent (|test|) [date=x, result=x, abnormalResultFlag=Y]   OR VitalEvent (|test|) [date=x, (result=x)<vital.reflow] OR VitalEvent (|test|) [date=x, (result=x)>vital.refhigh] OR [{LabEvent (|test|) [date=x, abnormalResultFlag=Y] OR ProcedureEvent (|test|) [date=x, abnormalResultFlag=Y] OR VitalEvent (|test|) [date=x]} reveals {ConditionEvent (x) OR SymptomEvent (x)}]",results,
risk,test,Is |test| value abnormal,"LabEvent (|test|) [date=x, (result=x)<lab.reflow] OR LabEvent (|test|) [date=x, (result=x)>lab.refhigh] OR VitalEvent (|test|) [date=x, (result=x)<vital.reflow] OR VitalEvent (|test|) [date=x, (result=x)>vital.refhigh]",results,
risk,test,low |test| before ever##Has the patient had a low |test| in the past,"LabEvent (|test|) [date=x, (result=x)<lab.reflow] OR VitalEvent (|test|) [date=x, (result=x)<vital.reflow]",none,
risk,"test, value, time",Show me any |test| > |value| in the last |time|,"LabEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)>|value|] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)>|value|]",result_value_time,
risk,test,Is |test| value high,"LabEvent (|test|) [date=x, (result=x)>lab.refhigh] OR VitalEvent (|test|) [date=x, (result=x)>vital.refhigh]",results,
risk,test,Is |test| value high or low,"LabEvent (|test|) [date=x, (result=x)<lab.reflow] OR LabEvent (|test|) [date=x, (result=x)>lab.refhigh] OR LabEvent (|test|) [date=x, result=x, abnormalResultFlag=Y] OR VitalEvent (|test|) [date=x, (result=x)<vital.reflow] OR VitalEvent (|test|) [date=x, (result=x)>vital.refhigh]",none,
risk,"test,time",Has the patient had an out of range |test| in the last |time|,"LabEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)<lab.reflow] OR LabEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)>lab.refhigh] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)<vital.reflow] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), (result=x)>vital.refhigh]",none,
risk,test,"Range of |test|##what have been the highest |test|, what have been the lowest |test|##What is |test| range##What is the highest |test| this patient has ever acknowledged##What is the maximum |test| recorded##What is the patient's range of |test|##What is the patients range of |test|##What is the pt's |test| range##What range is the patient's |test| in##What was the range of patients |test| levels","LabEvent (|test|) [date=x, CheckRange(result=x)] OR VitalEvent (|test|) [date=x, CheckRange(result=x)]",none,
risk,test,What is the range of |test| measurements over last |time|##what is the range of the patient's |test| in the last |time|,"LabEvent (|test|) [(date=x)>(currentDate-|time|), CheckRange(result=x)] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), CheckRange(result=x)]",none,
risk,test,When was the last time this patient's |test| was within range,"LabEvent (|test|) [date=x, lab.reflow<=(result=x)<=lab.refhigh] OR LabEvent (|test|) [date=x, result=x, abnormalResultFlag=N] OR VitalEvent (|test|) [date=x, vital.reflow<=(result=x)<=vital.refhigh]",none,
risk,test,What is the range of the patient's normal |test|,"LabEvent (|test|) [date=x, CheckRange(lab.reflow<=(result=x)<=lab.refhigh)] OR VitalEvent (|test|) [date=x, CheckRange(vital.reflow<=(result=x)<=vital.refhigh)]",none,
risk,"test, time",Please show me the last |time| of |test| reports for this patient,"LabEvent (|test|) [(date=x)>(currentDate-|time|), result=x] OR ProcedureEvent (|test|) [(date=x)>(currentDate-|time|), result=x] OR [{LabEvent (|test|) [(date=x)>(currentDate-|time|)] OR ProcedureEvent (|test|) [(date=x)>(currentDate-|time|)]} reveals {ConditionEvent (x) OR SymptomEvent (x)}]",none,
risk,"test, time",Show me any |test| done in the last |time|,"LabEvent (|test|) [(date=x)>(currentDate-|time|), result=x] OR ProcedureEvent (|test|) [(date=x)>(currentDate-|time|), result=x] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), result=x]",none,
risk,"test, time",Trend |test| for past |time|##Chart the patient's |test| during the past |time|,"LabEvent (|test|) [(date=x)>(currentDate-|time|), result=x, sortBy(date)] OR VitalEvent (|test|) [(date=x)>(currentDate-|time|), result=x, sortBy(date)]",none,
risk,"test, problem",How can I find a graph of this patient's |test| for his entire history since diagnosis of |problem|,"LabEvent (|test|) [(date=x)>={ConditionEvent (|problem|) [diagnosisdate=x]}, result=x, sortBy(date)] OR VitalEvent (|test|) [(date=x)>={ConditionEvent (|problem|) [diagnosisdate=x]}, result=x, sortBy(date)]",none,
